text_customer,text_apple,intent
"Not getting consistent push notifications from @4305 since upgrading to iOS 11
Is this an issue with your APNs @AppleSupport ?",@303628 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,2
"@AppleSupport @AppleSupport to unlock my iPhone, it happened every time. Sorry I took so long to answer, had to buy a new one 😕. The old one says Error 9 when trying to restore. Is there a solution?","@134161 We’ll want to be sure to follow the steps listed here for restore error 9: https://t.co/lMMVPdjGNN 

Let us know if you’re still having issues after completing the steps.",3
Not sure if i mentioned it or not but this @115858 update sucks big time! My phone is shit now. That is all.,@335764 We're happy to help. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,2
@AppleSupport #iphone8 &amp; #iOS11 are the worst device &amp; software ever produced by #apple very disappointing update ios 11.0.2 to be stable,@322672 We want to help. Tell us what's happening via DM. https://t.co/GDrqU22YpT,3
"Is it just me or is the @115858 app store a piece of shit? I rarely use it, but everytime I need to, it's always the biggest pain in the ass!",@137180 We'd like to look into the issues you're having with the Apple Store app. Can you explain the issues you are seeing?,7
@AppleSupport it’s everything. Particularly native apple apps like messages. My phone is a 6.,@209814 Got it! Which iOS version are we working with? You'll find that in Settings &gt; General &gt; About. Please DM us. https://t.co/GDrqU22YpT,1
@AppleSupport what’s your return policy on opened &amp; used MacBook laptops within the 14 day return period? Full refund?,"@315992 We’d like to point you in the right direction for your return question.  Was it purchased at an Apple Store, or online?",12
"@AppleSupport havent touched my iPad pro for like 2 weeks &amp; the battery is dead, hows that happen exactly??",@369955 We'd like to help any way we can. This is normal as you haven't used it in two weeks. How long have you tried charging it?,4
@116450 @AppleSupport can you fix this autocorrecting every “I️” bug?,@514895 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2
@AppleSupport my car all of a sudden does not automatically play my Apple Music when connected via Bluetooth since updating to #iOS11 I have to click play on my iPhone - v annoying. Help.,@615785 We'd like to look into this with you. Has your iPhone been restarted since you noticed this issue? Let us know in DM. https://t.co/GDrqU22YpT,6
@AppleSupport @144367 @144365 My battery percentage isn’t correct...help?,@144366 Happy to! Can you provide us with more details about what's going on? Which device and iOS version are you using? Let us know in DM. https://t.co/GDrqU22YpT,4
@AppleSupport 11.0.3,"@409822 Does it always seem to get hot when on phone calls, or was this the first time? When did the battery issues begin?",4
"@AppleSupport Since the last update, too many problems. I even think about Android...😏 HELP..!",@556906 We'll be happy to help. Please DM us details on the issues you're having and we'll work with you there. https://t.co/GDrqU22YpT,2
Pretty annoyed with apples new update. Not being able to even type out letters anymore is very frustrating .  @AppleSupport,@521808 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,2
"@AppleSupport I keep my Mac screen colors inverted, but when it wakes in 10.13, it reverts to normal and I can’t invert again w/out reboot.",@393679 We can definitely look into this further with you. Which macOS are you running currently? DM to let us know. https://t.co/GDrqU22YpT,5
i hate that i updated my fucking phone. my shit is acting so stupid &amp; im getting so frustrated @115858 fucking do better,@631036 Let us help with your iPhone! Please use the DM link below to share more details about the issues you’re experiencing. https://t.co/GDrqU22YpT,2
It’s a good idea not to upgrade to iOS 11 until @115858 fixes battery drain issues. Too bad I was quick in doing so. 😏,"@607731 You should be able to rely on your iPhone, without worrying about battery life. Let's sort this out together. DM us with details: https://t.co/GDrqU22YpT",2
@AppleSupport why can’t I share my Apple Music playlists like I used to https://t.co/HyZVerD4xy,@818423 Hi there; we appreciate you reaching out to us to resolve this matter. Let's partner up in DM and go from there. https://t.co/GDrqU22YpT,6
@533356 I️ really h8 that I️ can’t type I️. Wtf @115858,@258658 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2
"@115858 Rude.. Very Rude.. APPLE GUYS DON'T HAVE MANNERS.. Shouting at Customers HiLite Mall, Calicut. Been to lot of places, this is cheap",@484581 We want to look into this. Please DM us with more detail of your experience. https://t.co/GDrqU22YpT,11
my phone deleted my text message threads that I've had for ever 😔 fuck u @115858,@308540 We are here to help. DM us which iOS device you are using and we can take a look. https://t.co/GDrqU22YpT,9
"@AppleSupport Please help.

1. Please check #iOS11 (issamess🙅🏾): all of our symptoms are there 
2. No need to reboot. It reboots itself constantly 💁🏾 https://t.co/P1yWQNJuwN",@172164 Let's follow up in DM. We'll continue the conversation there. https://t.co/GDrqU22YpT,2
"Haven’t had my phone for a week yet, nor have I dropped it. And both the front and back glass are chipped. What the actual fuck @115858. I seriously expected so much more out of this 1000$ phone. Everything about this phone is amazing, expect the auto chipping glass. 🙃🙃🙃🙄","@806483 We're happy to assist you if you'd like to explore the options available to you for service. Since our service options vary by country/region, go ahead and let us know where you're located within DM here: https://t.co/GDrqU22YpT",3
"Gah! Trying to update my AppleID payment card with new card details &amp; it keeps saying card is declined (it's fine), &amp; when I try to update / change anything online, whenever I hit save it times my session out 'for security purposes'. Come on, @AppleSupport, give a girl a break!","@301802 Check out this article: https://t.co/U96y4MTG7k
If the issue persists, the iTunes Store team is here: https://t.co/SDIe7UiyJN",7
"@AppleSupport since I made the n. iOS lot of my I phone functions arent working anymore :(
Why you always have to make it that complicated?",@457597 We're here for you. What issues are you having?,2
@AppleSupport where is personal hotspot in iPhone 7? https://t.co/qh3l74Q2Sl,@357008 Good question. We'd recommend checking with you carrier to make sure they support that feature: https://t.co/BpXde6g2r7,10
@246313 Smh @AppleSupport when y’all gonna fix this,"@246312 You came to the right place. A solution has been found. Please follow these steps to resolve the issue with your iPhone unexpectedly restarting: https://t.co/osZOKKTalm

If you continue to experience this issue or run into questions, DM us. We'll be here for you. https://t.co/GDrqU22YpT",2
"When searching fot ""GOT"" Apple TV app shows Cmore but not @1561 Nordic, even tho I only have HBO installed. @AppleSupport",@123503 Let's get you in touch with our Apple TV experts so they can assist further. Reach out here: https://t.co/IBIY3vMgPj,7
"@115858 @AppleSupport  every since I updated my 7, maps is incorrect, sending me to wrong places, and then telling me go turn around a bunch of times when I am going the original way they told me to go. #fixit",@791540 We know how important it is for you Maps to work correctly and we're happy to help. Please DM us the iOS version currently installed on your iPhone 7 and we'll be happy to look into this with you. https://t.co/GDrqU22YpT,2
"@AppleSupport my phone still autocorrects “it “ to “I.T”, I’m on 11.1.2",@276132 We want to help! Join us in DM and we'll get started together: https://t.co/GDrqU22YpT,2
@115858 fix this I️ shit man,@516254 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2
"Mobile data is not working properly. Many a time, need to restart the phone @65702 @AppleSupport @116329 @117128",@566225 We want to do all we can to make sure you can access data when you need it most. What type of iPhone and iOS do you have?,10
"Got new iPad after 3 years on old one that was slow. New one is crap. Have to keep rebooting, videos often won't play. WTF @AppleSupport? 😡",@333420 That's not expected behavior for a new iPad. Join us in DM so we can better assist you: https://t.co/GDrqU22YpT,3
@AppleSupport   Phone not working 11.0.3,@573858 We're here for you and happy to help. Can you tell us what's happening specifically? Send us a DM if you'd like. https://t.co/GDrqU22YpT,3
@AppleSupport its been two days and my apple music still does not even open until on my phone. i deleted it and reinstalled... come on ppl,@564634 Let's get you rocking again. What exactly is happening when you try to play music on your iPhone? Are you getting any errors?,6
@AppleSupport 10.3.3,@176777 Let's go ahead and continue in DM. https://t.co/GDrqU22YpT,2
@AppleSupport I got a green line on my iPhone screen just got it used this for 1 day how do I return this and get my refund.,@273658 We want to help. DM us and we'll go from there. https://t.co/GDrqU22YpT,12
@115858 fix this iOS!! For god sake! It is crashing every time I open a new app! 😤😤😡 AAAAAAAAA,@433887 That's definitely not what we'd expect and we'd like to help. What type of device are you using? Tell us via DM. https://t.co/GDrqU22YpT,1
"@AppleSupport you promise a voice chat in 5 minutes, 50 later I resort to email, which you say is 48 hours at most. Well it’s been 3 days...",@572863 We'd like to help via Twitter any way we can. Please let us know a bit more about what's going on in DM and we'll go from there. https://t.co/GDrqU22YpT,11
@AppleSupport why can’t I hear anybody when I make a call? They can’t hear me either. But yet it will work whilst I’m on WhatsApp 😤,@345240 Let's meet up in DM to get some more detail. Thanks! https://t.co/GDrqU22YpT,3
Eye just want to be able to text the letter after ‘h’ and before ‘j’. @115858 @AppleSupport please fix this already.,@487228 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,2
@AppleSupport @115858 Where can we go to provide bugs that we have found on iOS 11?,@404422 We would be glad to help you. What issues are you experiencing? Let us know in DM. https://t.co/GDrqU22YpT,2
battery draining within am hour!! \and wont charge from usb point!! Help! @applesupport 11.1.1 battery,"@286121 We'd like to see how we can help with the battery drain and charging. To start, DM us which device you're experiencing this on and we'll start working there. https://t.co/GDrqU22YpT",4
@115858 what’s wrong with the letter I️ every time I️ try to type it by itself “A ?” comes up?,"@590580 We'd like to take a look at this with you. DM us, tell us the exact version of iOS 11 you're using and we'll go from there. https://t.co/GDrqU22YpT",2
